Date,Price,Open,High,Low,Volume,Change %
7/5/2021,"120,500","120,700","120,700","120,000",0.80K,-2.03%
7/2/2021,"123,000","120,000","123,000","119,500",10.20K,2.50%
7/1/2021,"120,000","117,500","120,000","117,500",1.13K,1.69%
6/30/2021,"118,000","116,500","118,000","116,300",1.60K,1.46%
6/29/2021,"116,300","115,000","116,300","115,000",1.93K,-0.17%
6/28/2021,"116,500","115,500","116,500","115,500",0.30K,0.87%
6/25/2021,"115,500","115,000","115,500","114,500",1.40K,0.43%
6/24/2021,"115,000","115,000","115,100","115,000",1.21K,-0.86%
6/23/2021,"116,000","116,000","116,000","116,000",1.60K,0.00%
6/22/2021,"116,000","115,000","116,000","115,000",0.80K,0.00%
6/21/2021,"116,000","116,000","116,000","116,000",0.44K,-1.53%
6/18/2021,"117,800","117,800","117,800","117,800",0.10K,0.08%
6/17/2021,"117,700","114,000","117,700","114,000",0.34K,4.07%
6/16/2021,"113,100","116,700","116,700","110,600",0.90K,-1.22%
6/15/2021,"114,500","115,300","115,600","114,500",4.40K,-0.61%
6/14/2021,"115,200","115,200","115,200","115,200",0.10K,-1.54%
6/11/2021,"117,000","117,500","117,500","116,000",0.50K,0.00%
6/10/2021,"117,000","117,000","117,100","117,000",1.30K,-2.50%
6/9/2021,"120,000","115,000","120,000","115,000",0.70K,0.84%
